,Country,Year,Co2/capita,Energy(oil/capita),GDP/capita,Urban
0,BGD,2013,72.0629,218.9350592,958.2629898,32.762
1,BGD,2014,76.6369,224.1071499,1094.461997,33.535
2,BGD,2015,85.4306,237.7131636,1224.386477,34.308
3,BGD,2016,93.9764,255.9235488,1649.283809,35.083
4,BGD,2017,101.0249,260.8802861,1811.082217,35.858
5,BGD,2018,105.485,257.8738895,1965.243727,36.632
6,BGD,2019,108.0751,273.3400233,2129.79897,37.405
7,BGD,2020,102.4575,272.0765721,2248.850788,38.177
8,BGD,2021,116.6813,292.4872195,2482.849178,38.946
9,BGD,2022,124.0779,297.1183563,2716.485928,39.711
10,CHN,2013,10792.1384,2137.325727,7147.035186,53.013
11,CHN,2014,10916.9228,2177.550114,7781.065975,54.259
12,CHN,2015,10776.9127,2175.154449,8175.332851,55.5
13,CHN,2016,10805.0515,2149.20475,8254.868593,56.736
14,CHN,2017,11037.1271,2215.91139,8979.676527,57.96
15,CHN,2018,11572.4164,2310.877571,10085.66381,59.152
16,CHN,2019,11850.5929,2397.968689,10342.90095,60.308
17,CHN,2020,12022.433,2465.969546,10627.4638,61.428
18,CHN,2021,12621.6147,2623.799594,12887.43572,62.512
19,CHN,2022,12526.8263,2676.48201,12970.60564,63.56
20,IDN,2013,474.9793,696.1928077,3566.602845,51.955
21,IDN,2014,505.1547,704.653772,3441.068085,52.635
22,IDN,2015,512.4074,698.6607376,3288.222697,53.313
23,IDN,2016,507.0768,718.5795349,3521.469435,53.989
24,IDN,2017,535.7172,755.3513042,3798.883262,54.659
25,IDN,2018,597.4767,826.03866,3860.953531,55.325
26,IDN,2019,637.3101,844.8700394,4106.948562,55.985
27,IDN,2020,594.2634,848.4367662,3853.702888,56.641
28,IDN,2021,619.3274,896.8135349,4287.17314,57.29
29,IDN,2022,656.6692,953.6539285,4730.834848,57.934
30,IND,2013,2083.2109,577.2546216,1432.843975,32.003
31,IND,2014,2242.8409,610.1653718,1553.883961,32.384
32,IND,2015,2260.1314,622.339884,1583.998159,32.777
33,IND,2016,2303.3619,627.273531,1707.508929,33.182
34,IND,2017,2433.7831,648.0147183,1950.104683,33.6
35,IND,2018,2573.1194,668.3033702,1966.254552,34.03
36,IND,2019,2542.0351,666.9773475,2041.428637,34.472
37,IND,2020,2318.9477,632.2398285,1907.042516,34.926
38,IND,2021,2548.4833,676.8142935,2239.613844,35.393
39,IND,2022,2740.8206,727.9022001,2347.448294,35.872
40,KHM,2013,5.6915,337.7788875,1305.660097,21.415
41,KHM,2014,7.0287,359.9495246,1431.563965,21.799
42,KHM,2015,8.514,379.745574,1547.320104,22.188
43,KHM,2016,10.5911,412.7476524,1675.195557,22.582
44,KHM,2017,11.8487,418.9536163,1826.353917,22.98
45,KHM,2018,12.3359,440.9496259,2036.673776,23.388
46,KHM,2019,15.8551,489.367825,2225.877055,23.805
47,KHM,2020,16.5998,516.1167177,2081.739142,24.232
48,KHM,2021,16.7775,501.3309772,2167.403242,24.668
49,KHM,2022,17.3545,501.6441362,2325.0305,25.114
50,MYS,2013,237.2457,2869.769116,10713.64076,72.93
51,MYS,2014,251.4646,2879.923522,11013.31073,73.577
52,MYS,2015,252.9286,2706.926963,9648.679794,74.213
53,MYS,2016,247.5683,2759.172283,9476.534098,74.84
54,MYS,2017,237.8645,2617.764623,9862.548066,75.447
55,MYS,2018,254.3612,2839.452448,10901.802,76.036
56,MYS,2019,255.2071,2878.298885,10920.19176,76.607
57,MYS,2020,253.3934,2722.603166,9957.526267,77.16
58,MYS,2021,258.9144,2793.499535,10903.11164,77.696
59,MYS,2022,274.3424,2867.096519,11748.09193,78.214
60,PAK,2013,160.7696,421.5471981,1225.434012,35.613
61,PAK,2014,169.1733,433.4183157,1266.613408,35.819
62,PAK,2015,178.2548,437.1132549,1380.470208,36.026
63,PAK,2016,196.7683,446.8314971,1424.691612,36.234
64,PAK,2017,213.2665,456.0173609,1519.234595,36.442
65,PAK,2018,202.283,453.5139786,1569.338146,36.666
66,PAK,2019,198.9723,431.5157573,1390.41691,36.907
67,PAK,2020,222.4719,454.250318,1278.397352,37.165
68,PAK,2021,236.7437,465.0294914,1455.319224,37.44
69,PAK,2022,218.6802,470.7234965,1538.322813,37.731
70,PHL,2013,97.4623,443.2697193,2781.279577,45.903
71,PHL,2014,103.989,465.6258864,2866.838038,46.093
72,PHL,2015,113.1619,499.0707763,2909.85818,46.284
73,PHL,2016,121.2734,520.9808508,2985.19564,46.475
74,PHL,2017,135.6224,544.4751998,3038.12125,46.682
75,PHL,2018,141.3123,554.4982835,3168.510366,46.907
76,PHL,2019,147.8971,551.8665498,3400.789498,47.149
77,PHL,2020,135.8002,518.1567758,3227.579102,47.408
78,PHL,2021,145.5867,530.9879807,3484.385939,47.684
79,PHL,2022,150.6387,550.793804,3548.069306,47.977
80,THA,2013,275.9486,1943.92304,6018.082447,46.193
81,THA,2014,272.3266,1926.225826,5801.197892,46.943
82,THA,2015,279.7376,1932.67391,5688.853354,47.694
83,THA,2016,276.0079,1985.005309,5833.577156,48.448
84,THA,2017,276.9396,1988.137815,6413.091825,49.2
85,THA,2018,274.5858,1951.855636,7099.776501,49.949
86,THA,2019,284.4396,1989.812342,7605.696578,50.692
87,THA,2020,274.439,1884.350737,6985.643939,51.43
88,THA,2021,267.4912,1848.063361,7057.207548,52.163
89,THA,2022,275.8689,1867.469683,6909.352818,52.889
90,VNM,2013,163.0681,674.6781651,2359.517365,32.429
91,VNM,2014,178.8301,745.6335318,2546.384645,33.115
92,VNM,2015,200.7053,679.445924,2577.568853,33.809
93,VNM,2016,224.4548,738.8795334,2735.060438,34.51
94,VNM,2017,230.4037,757.4799799,2956.109921,35.213
95,VNM,2018,283.8603,885.6468418,3222.310031,35.919
96,VNM,2019,338.946,987.2714724,3440.900254,36.628
97,VNM,2020,352.0639,991.2812325,3534.039535,37.34
98,VNM,2021,341.1051,962.1995249,3704.193559,38.052
