Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Thailand,THA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,275.9486,272.3266,279.7376,276.0079,276.9396,274.5858,284.4396,274.439,267.4912,275.8689
Thailand,THA,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.716175983,0.699885565,0.697085029,0.664948856,0.640438018,0.609266205,0.618061104,0.634732266,0.609207239,0.612482947
Thailand,THA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1943.92304,1926.225826,1932.67391,1985.005309,1988.137815,1951.855636,1989.812342,1884.350737,1848.063361,1867.469683
Thailand,THA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.89858846,36.76304037,36.17917733,35.58676541,35.01875953,34.74248967,33.59391051,33.29072297,35.03171197,35.1217577
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.193,46.943,47.694,48.448,49.2,49.949,50.692,51.43,52.163,52.889
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,474.9793,505.1547,512.4074,507.0768,535.7172,597.4767,637.3101,594.2634,619.3274,656.6692
Indonesia,IDN,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.607630259,0.615420882,0.595231319,0.560812991,0.563899965,0.597967879,0.607349411,0.578270635,0.581141124,0.585126689
Indonesia,IDN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,696.1928077,704.653772,698.6607376,718.5795349,755.3513042,826.03866,844.8700394,848.4367662,896.8135349,953.6539285
Indonesia,IDN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,42.63567744,41.92834213,40.0478624,39.30844398,39.3791548,39.72973745,38.951768,38.23839372,39.84481919,41.42926418
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.955,52.635,53.313,53.989,54.659,55.325,55.985,56.641,57.29,57.934
Viet Nam,VNM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,163.0681,178.8301,200.7053,224.4548,230.4037,283.8603,338.946,352.0639,341.1051,324.9007
Viet Nam,VNM,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.77600763,0.799659666,0.838864425,0.879302042,0.844029606,0.967622188,1.076197933,1.086710244,1.026665631,0.900972721
Viet Nam,VNM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,674.6781651,745.6335318,679.445924,738.8795334,757.4799799,885.6468418,987.2714724,991.2812325,962.1995249,1023.057136
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,35.57515044,35.29856849,34.26654664,34.11522886,35.39036407,36.54243341,36.8031369,36.74371329,37.39151925,38.48236124
Viet Nam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.429,33.115,33.809,34.51,35.213,35.919,36.628,37.34,38.052,38.766
Malaysia,MYS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,237.2457,251.4646,252.9286,247.5683,237.8645,254.3612,255.2071,253.3934,258.9144,274.3424
Malaysia,MYS,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.87704261,0.87693175,0.839303731,0.786518084,0.714176278,0.728428376,0.699960269,0.735099033,0.727012551,0.70762479
Malaysia,MYS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2869.769116,2879.923522,2706.926963,2759.172283,2617.764623,2839.452448,2878.298885,2722.603166,2793.499535,2867.096519
Malaysia,MYS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,39.88537365,39.92442448,38.44966979,37.6832735,38.11471636,38.29143917,37.47655524,35.93473853,37.68268618,39.0948343
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.93,73.577,74.213,74.84,75.447,76.036,76.607,77.16,77.696,78.214
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,
